sentence_id	sentence	sentence_domain	source
190ed70d096fefc20f95f66817212ffc2d4f272651a6f2cfbb910444981c5994	Sivilarbeiderne blir utplassert i frivillige organisasjoner og kulturinstitusjoner.	general,general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
1ccfb173dc8e88ebacafd86a86b128fc37afaa4953f69dbdc9dbf07085845284	Det er en cool by, mer avslappet enn hovedstaden.	general	"https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/	This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken."
2015dfa7443f0ccc2502931f435c66372bf936d5a9bac8e2ba722cb996e7e9b9	Han reiste tilbake over Kongsvinger, Karlstad og Örebro til Stockholm.	history_law_government	Sverige och Norge 1814 : skildringar
208631cce4aaa5ad4e2fc69fc3d1e1bc12ff50f0f40eb5308b8485ad42a60215	Fylkestrafikksikkerhetsutvalgssekretariatslederfunksjonene		Selvsitering
2327fcb55caf30c2e6971f9ce9319bd37350b1bb6b5ca274e55b0e5088502f97	Den strenge skolestarten har lenge vært omdiskutert.	general,general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
285a858dc1067976e68696e127e4af5ed69cef84705d49c49e25e4f1388122a0	Mourinho gratulerte ballgutten med et håndtrykk og en omfavnelse.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
28e025cdf89bb615f1d4eee3d5ca62eb55e2b21c8d4bab583421c0407005b805	Særlig er risikoen lavere for ungdommer og eldre mennesker.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
29141253e25dcff458b844130c56de6f63cd28371b839e9f42b1cdb283106d8b	Det ga plass blant håndballkremen.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2914b292141293d117bdb46cc3c3fd0cd8116857cd48c4c238c1bfe9a5bece99	Ved ankomst til rusakutten er pasientene tungt bevisstløse.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
29152589a5350fbdeeb1a7c0259abf5267daab5d37617cf8e8d8282cf9ded8e7	Utover søndag kommer det mer skyer og regn.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2937fdaa266977eca7e55e8375de5ed1c95c76f911a426b68290682ac2c250e9	Flyet nødlandet på vannet, før passasjerene klatret ut via vingen.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2944561e5df717fdad0e4d99b691699285a5a1728b585db67f82796b7d5f44f7	Man må bruke for å bli misbruker.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2956aec95ed600fc13ee33ee8a7a2cdc053214e9579fdc05d3f1ca274a93d531	Det er annen gang en svømmer får prisen.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
29597de1a78298720c0a0f98dde5325b675f1de4682a13b231c2bc6f75497ddb	Bestandsmålet ligger på tre årlige ulvekull.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
295ff724d271c3a1c0dde1965581f0a564dc9c7ea0cf6e04f4b85ac9f158c6a4	Eneste vinnere er teleselskapene.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
29690d95b8cb561bbbb748b9d2812f45f3ea87bfa3531654edb408f44ff5193b	De nye reglene ble vedtatt i statsråd fredag.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
296fdce76abacca0294af5f0c9c95f558935a016d8bb5e870d7d4f2e22b49369	Lotto-syklisten hadde ingen sjanse til å holde seg på sykkelen.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2974f3222d7ace74fdcad3cbd6ddfdc2606f5918cb37a1b102a49ac69a64e026	Et angrep på demokratiet, mener han.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2976a719b79d1a6054f68de9977cb90a7ab950f0fc32b6f39599b2d31b3b2453	Mange meldinger gjelder takstein eller takplater som er revet løs.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
297d5e933a52d44aa839cb1c129fdf5b7dcbe97f699f14f39a25c8fccc17bd45	Fredag kommer nedbøren som snø i alle fylkene.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
29824c3cabc5558647e43d19804dc99f69434f948a10e45d5692a53859634eea	Disiplinene er individuell sprint lørdag og lagsprint søndag.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
298398229a22d450a43bc9bf2195b85e97a9b4696be0b518d3e2101160588e04	Samtidig blir det mindre tid til møter i den virkelige verden.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2987a2366e94fa9f136f2e0e2c8a55e84e0fa90b06bc3393120369af4d45003d	De nye reglene gjelder kun når en ikke bryter brannskillet.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
298d61f1bbc6b8c7c23a22b148adadbd07d96e3b4fdf6411b827ce80340b8810	Det arrangeres turneringer og internasjonale mesterskap i Settlers.	general	https://no.wikipedia.org/wiki/Catan
299864aa576caede3a808eff85e250556e94ab24a8226c205c6178291e5ebea9	For bøndene kan det bety ekstrakostnader.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
29a18add7afc0b31473f5de95be42f2ea5d8e07953968bd434086e78405969d8	Dette resulterte også i film.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
29b497309fac5723e3e9f40316db658d4367e44ea308187bdc98388385dac8a1	En del som ødelagt, og den må spesialbestilles.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
29d47c79d1f488691118f63377680cb2aa6adab202aa87fe10f741b63e8ee641	Det oppfatter vi som problematisk.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
29da921b4a124f8833154bea76c3d3af5b724e2022266656e85d1caf0fb4c810	Hovedorganisasjonen la mandag fram sine prognoser for handelen.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
29dfcd76d3312e6eb62dd3bf4498d96ec57a76bb423ba0e21d0be151f38e8e73	Det blir det viktigste.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2a0eced8fb45aac12c3eb84c478d94f85df232bf1c264eeaa80ec874a0226d4b	Tomme gårdsbruk får ikke nye eiere.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2a12f6f0fc63ec5556706de59c7f198bc8b9d79469190bfc95da1055384434bb	Fiksing av kamper innen idretten er ingen ny ting.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2a3a4d549b1b5b311b01445cce01780e2aa47fe25976a55e809f2eaca49b41de	Fem medlemmer av mannskapet, inkludert kapteinen, overlevde.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2a43449c3921816897399c8ac776f82a5b6d87a2612fe9458c464dcf96c121b8	Like mange svarer at han ikke bør bli det.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2a4d2f73b8c8e0bb65269665a581a4634e26927e60c5c24c88f4b4b83d3f97dc	De skaper samhold og gir både livskvalitet og mening.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2a4e5f887121c589586f973e4af33b719d35e21c91bac948287b7479b14eda79	Betydelig uenighet mellom de fire arbeidstakerorganisasjonene gjorde forhandlingene krevende.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2a502f49ce77142fe033a48f8053947d125794d05c3366644165731a82d84e2b	Alle rapporter viser at det er farlig å dra tilbake.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2a6a7ea73098df333c5acc0e94313ab4c5c8591bfcd866d4e40e7357b2aef6b8	På stående skjøt hun fire raske skudd.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2a9bda4c025516f68e9ca476a94f6d369824bb912de4f55fa5c1123c54f11c83	Dyreparken har foreløpig plassert statuen på et lager.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2aa534de3e2b13ce27d8317d48f6c6601b0953febd0b1d7f0d3fc0d1ad621912	Det er sju færre enn på samme tid i fjor.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2aaa4b57d9377930a6246d1773c619e8f753c45794ec7282fdc072f76af9bb53	Resten av avvikene dreier seg om udeklarert svinekjøtt i storfeprodukter.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2aab7cb9baad7e5f9336e76903a8bd2fe4bda3c2782954b8826e1ad0f7ba0a31	Signalene kan høres av over halvparten av befolkningen, fortsetter hun.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2ab73b75630730480ed1cdc3c6f52725542c4fad85fbfdae21415f8f6dda9af1	Politiet hører oftere at ungdommer tror cannabis er lovlig.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2ac8a4ff1bc37d669cf90df5b6e434ad54d002cb0f21d6af6825dfc543e16f88	Det viste seg nemlig at barnet hadde funnet en skarp granat.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2ac8e9b62ed314b08c35e908c826362cff1ee1455e6e63fb6724bd317c890ab9	Foreldre meldte i etterkant inn infeksjonsfrekvens.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2b0bdf50c3dee83ea41ccc9be40008c10988cc4984dc7e78e02da1c0890f6836	Det var ingen norske deltakere i kvinneklassen.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2b1a45a7279f7d8b98ebc560ac38358a71306ac71b8b7e37c4dbdf574bb874af	Primærvåpenet er automatgevær.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2b1a8d89b27c60d9ef3ea00bfc47ede4a6c26cc11403ae5b651d75042d702c48	Nominasjonene ble kjent fredag.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2b271458d27e69374ac09eb09432aa484cb9ffa863a37d90f88eee40a57de548	Brannvesenet ble tilkalt åtte ganger.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2b2b6392ce78cfa04cd061faea28755ce4c6d5902d7ae83c162f3d6a88331ac2	Tallet på redningsaksjoner er tredoblet det siste tiåret.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2b312674d10253124bf66cadcde2ac4644926b57ff9627d27c3e24064da42677	Men også bruktbilsalget og bruktimporten økte betydelig.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2b3f132759ebedf96f56581b7f263c8db51bbf4fc1f73cc5f0e1beb4a946eac0	Det er bra for barnet og for likestillingen i hjemmet.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2b5c445f05f297806dbe58f5febdc1c2e7393a11c17c33f3bdac1e2413e103d0	Dette er helt uakseptabelt.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2b6a7bd5bfbe8ba00bd31af8223889e6d87b3470ddf9a7021d377dbd97a7234f	Det er viktig å gjøre i dag også.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2b74a32ad541642493ca19b0dc564be3f8099daba1dd5d4e0e1222f048366323	Bygget var ubebodd, og det ble gjennomført renovering på stedet.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2b7971650a4f4cb01903f6dc53d52b8831491dbc35dd39623ad7c59459c7c8d3	Cruisebåter må legge om seilingsplanene sine.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2b91aba298e0d3c4b01606dbe0a09605f855f7cf4c3c89085300494eb2cf823e	Den ene av dem er mistenkt for drapsforsøk.	general	"https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/	This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken."
2ba848202954a9935c58737167cf6fcc549046ba616cb621b0b16416df8dfd4b	Kjenner du på presset?	general	"https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/	This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken."
2baccc7a625f4e52b8d241acdc032e9dda964fff42f26744e0eb9eb4db4f2aa8	I dag er båtene større og sikrere og går lenger ut.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2bb145b5bbe0a4e4d1657f90a6ccb7f01c36891dc331fba3bb81d0824222c033	Disse bidro dermed til å dempe nedgangen fra desember til januar.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2bd9b6ac146ff26c919c82c1ccf96ad347348ba15d1926b52da13e67f3c87a84	Saken er historisk i norsk sammenheng.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2bdddc0ea27084f44e71d3afb2a2c982a1d6e622dbdab0391229cd1d835517b9	Er det ledige seter, kan alle som vil sette seg der.	general	"https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/	This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken."
2bf071d215b3c068b5abc964cd9f9fc4fbeced0de71d73c373703028cbc2fef3	Han påpeker at angrepet skjedde på den franske nasjonaldagen.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2bfa3284b979346669f7e67273fc9e3e6d2ede7377f7f96593d6c0c3e6dec4dd	Skulle den ende uten resultat, blir det streik fra fredag morgen.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
2c078a680c111bed8b11caff630ce6db515c0d4a023426ff85d08f6e17a91f51	Enten det gjelder trygdeeksport eller studiefinansiering.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
