sentence_id	sentence	sentence_domain	source	is_used	clips_count
241b16f2f71c5be57c3f1b30ace10950c374e1582a736bdf0e00bd8da2f26c50	Dette ga rom for ny eksportrekord.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
243b7a289c358457ec4f263567a854b6c5838956472dd66c3edc4aaa9b85cc71	Håper tyven brenner i helvete		sentence-collector	1	0
2443ab4cf03f9a3eaca2f8d0b3632a34c02f281bf023aa500338fe9a897c4937	Her får man god mat til en rimelig penge, sier han.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
256b642353466f42acb7d8cfa16c10f965a01b01412b4c8b4e79fab8c254677b	Løvenes konge er den beste filmen som noensinne er laget.		sentence-collector	1	0
25abedeafb98ebde9d7c91941abf228ca50b585d3449ad731e134701a75fa057	Vi skal løpe på tredemøller og i innendørshaller.	general	"https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/	This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken."	1	0
26517c0bb19c8b3d7d67fffe11d124099348f7fc4240f991da8453cbc2532e53	sekstito tusen seks hundre og førtiseks		sentence-collector	1	0
267d3708cbee15d0cec10e924c0b9324e02d58569efe3eb3cb087f694cdcfc9e	Denne krigen er brutal.		sentence-collector	1	0
26ca9a718fd67c5c526e17f71e2380b8bd9eedfbb7689dae16bf73e7d78056c7	I syv av tilfellene mistet butikken alkoholbevillingen midlertidig.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
27c3a2625a9010fd3b9bad5ca540949ed0b3a6ae86ccc4710f0035e9f2bc41c8	Det er hun svært godt fornøyd med.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
28332d7166e05cfd9a376eb24cae943a67ba07bd96ba0ba98b69da0d9f2e8190	De som booker er i all overvekt menn.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
29a78741eaf3e2c1ac364fac4e48d4953727340f64977c6f6b145822acdf1188	Vi har mange populære merkevarer i butikken.	service_retail	Selvsitering	1	0
29af6f08816252bf9e0a66f1994ff9e56fce06401a9510f9d3f0788c03ed06ab	Denne bør komme inn i basislisten.		sentence-collector	1	0
2a7cca43071fca4e38ba362c2550934db503a2310f1d2197e36a5ba04b03b0c8	Egentlig trenger man ikke låse døren når man går hjemmefra.		sentence-collector	1	0
2a7eaca03419f7075ae27b2df2bc58bfd950a91c92e11ae6f85a61d7c6ff104c	Lover og forskrifter er ikke skrevet i klart nok språk.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
2a8de0ea151c1d71bfaf325b11c05b87b01d300ad59e246d50b7b50621131771	Thorvald Moland		sentence-collector	1	0
2ab018fb8c494c96396da4b42e40f2ebf3d6c9f9571fa5265b8a8812b7cefb76	Dermed står synderen tilbake også med svekket rulleblad med tanke på fremtiden.		sentence-collector	1	0
2bc38e2bcbb8b416b6da8354b0e39db8463ea493c35db1696087df652defb96e	De tok vår kjæreste skatt, sa ei jente.		sentence-collector	1	0
2ca36e800ec588420ec0217d6d9762fa6e2c31c2048a11cfc8f99a639f2de5b3	Men nå er det slutt på moroa.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
2d3e3cccf9be4070b6d7aa203889c76a4e20d67e0c8fb1713effae5b3080784b	Snart kan du lade mobilen trygt om natta.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
2d7d49e902eff2d11333b40dbe55b9075caea28dbe68da0d291b7daa2a2bf8f7	Torgrim Høiland		sentence-collector	1	0
2e5e80f660b9730586e4aa7a7d92614c90a53be4feccd052ea18b77940c25d08	Naturligvis var han ikke under noen slik tidsbegrensning.		sentence-collector	1	0
2e6cada28262b0954c2c5f222de2b1136ed41217023601cac2e13a3ac5b70f14	Det viktige er viljen til å legge til rette for innsyn.		sentence-collector	1	0
2e7201c22c67a3a181a368bcc550476e3afcdc7898309dde4e5d255b4e2e50ae	Risikoen for vårflom er derfor mindre i år enn tidligere år.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
2e7a397e93d9eac08e424dd35c7fe2d89069eef71bdc5e9e725f87f7aedeabc1	Han er redd partiet blir utradert.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
2edc08d0804c63dd8ed1b5b7179f61fa410cd525fa133c3785a36e1363c59ef4	Men reguleringen har ikke vært kjent i detalj.		sentence-collector	1	0
3111b0bcffc91a81047ae34787e27c6665a76dfae6b9dc22e7a4c9f62a7d185b	Stranda		sentence-collector	1	0
32c37c759a4e85e6d554cbfce5ab4ee8b8aea4b10cc08273818122f2adf5241e	sekstien tusen ni hundre og sytten		sentence-collector	1	0
32f0a19e76b66aa7b3313bdb15bef73ecfaab1991debcbbb00f594fedbb61955	Valgloven krever to tredels flertall for å skrive ut nyvalg.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
33594079e955c5a0f417b16882fd82ec57bfdcd1cd8ee590053d84bfc049ed3d	Breim		sentence-collector	1	0
340d310a852f05a764b318683c002400851b37ad0355a5392bd6ea22c6a6f72d	Bevilgningene går til fri grunnforskning, til prosjekter med høy kvalitet.		sentence-collector	1	0
349917cf4f9f5a8ee39153b523284e09cf8246865a4bb29ceb15f4135ea265ba	Kulturmidlene har ingen fast søknadsfrist		sentence-collector	1	0
352b7bb563ffb89d32825c0198e5941f4c2cfadfb8041d78e1c54b6d853edb3c	tretten		sentence-collector	1	0
35f21dc7a37af1baceaaae3c6a1ad678d794bf28ab7c5344cf9aa0d72cc60c3c	Andelen private grunnskoler blant disse, øker.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
37220e25d24a6ea457687c9c624f270efb34a0a7bee560a531c7675920c21b27	Det er ikke kjent hvor langt han falt.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
37444534bf976a03312ee199a59e661da26d693b2c4e0e98604e7661b0640fad	Kjærlighet er klissete.		sentence-collector	1	0
37453f07991fb9b962b699ee39a3205670ff132ac82d421a916ad545ccffccd8	Grunnen er fare for kvelning.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
38881134d9838b62f3b91ebfedd60c68d2d1264ff3917accf9dd85fc520b315c	Dette viser også resultatene i denne rapporten.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
388a4ff82b2498895af8f47e9d8a92d923ae6658e6ca94202ffd79898eb11a03	Jeg liker ikke tunneler.		sentence-collector	1	0
38b72314ae65f5c7ec5de8cfe627851043b8ac4c65650bb66bbfb92740c94217	Alice Øverland		sentence-collector	1	0
3a11da4ebd5e8681eb36d6cba6553d64499ab47c0e212dc816d6b1ede4927951	En åpen haspelsnelle er vanskelig å hanskes med i begynnelsen.		sentence-collector	1	0
3a70ecee2725e8656c9f0d27193218c652559e3b502fb774b4b7a1f4af39841e	Bare noen få skigåere rusler innover.		sentence-collector	1	0
3a7739d57e580c1aa474140ccc419ceefd9e2b43889472e443528d7d837043f7	Hun er ikke flink, spør du meg.		sentence-collector	1	0
3b4fb544af87a34cb3821e09c01bac9e8bf8cc34fc2786f5edf2c09924f35ed1	Legemidlene er for dyre.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
3c47d659438b491326c63ddf6c3bc673526f564986d2843373cf551e6af5bd89	I tillegg vet vi at også vaksinerte kan smitte videre, særlig med omikron.		sentence-collector	1	0
3c63ff96299c92e981f77eba9f7b922c61bd13c0a90c6e97250c31cd113dd231	Gunnhild Møller		sentence-collector	1	0
3e2caeb0e9c3886743063537e2cd63a80fedc149a32c05d238d54ffd59026827	Ennå er det imidlertid stor risiko knyttet til prosjektet.		sentence-collector	1	0
3e9255fda5f2c633cc8a0fdad3535dc618460fc2c5b1e9f99dc4b67cb9488d55	Nei takk, ikke noe sylteagurk på burgeren min.		Self Citation	1	0
3ff729a6ae6e38ae3836f28469ea21ad01d4a1ef70161ff8c488e094dde016de	Niels Benjaminsen		sentence-collector	1	0
4155397d7c01d488269ebd1ea1f5adb736ff880753c9fb69229811023dd97987	Hun var glad i onomatopoetikon		Selvsitering	1	0
4160ef04e004b1312d8ce72bda123ec8a50f2436abaacf5b4008d4195cc594be	Det er en ødeleggende myte at indisk mat trenger å være så fryktelig sterk.		sentence-collector	1	0
421e293f89830543212d1a2254add929773fb4b2006fa8c2e5d50da01de657dd	En blekksprut har åtte armer.		sentence-collector	1	0
424e3460f259a53ab08b00d5c31990b457d60335865595d534cfdaac1546ba16	Du vil da få nett-tilgang til dokumentet som varer i sju dager.		sentence-collector	1	0
42b00ef4fbcb3eb1c896e40433b8b68e5ab84bf6f5c6e620c39c59c1393ec942	Matrand		sentence-collector	1	0
43a0bcf6b63823594ad776f0780a96dc38097f327faf6d3e0228726964feca65	Jeg ringer i morgen.		Self Citation	1	0
457509329535a22ecd5822d3a3314474a19f0fa2aafaa20c2c17ccbb44519a87	Rent juridisk er det vel vanskeligheter med oppsigelser.		sentence-collector	1	0
459ae3868ea74759b27619304b1807a13eb83443e49387d0d545193dc641499c	Janne Myrvold		sentence-collector	1	0
4661c566b9b8f65e97357ddbce4c1971a3551105d45eb833277a42262b80ce3e	Jo flere ministre jo mer søl.		sentence-collector	1	0
46c2e054f849823a01469ce6937218d870d2d6fa63f12027fd75b583395d934d	Biologisk mangfold er viktig for stabile økosystemer.	nature_environment	Selvsitering	1	0
482767b5bca55ee73402cc0cfde4c4981c58b518078886430dfd4ba51930b0e3	Den er grå, stygg og kald.		sentence-collector	1	0
483839c10792f1f0ed0be4726a8fd7fec89b247c27022cebd8f50d0d75d71e6d	nåtiden		sentence-collector	1	0
48fcc701834d836822f71f1de234b76ded4957ee937fe7f88a41288fa748fc38	Anette Nyhus		sentence-collector	1	0
49b591eef200fcb1fe70264afeecd7f07b062f28324d1ce10b79402ef10a08a3	Om antall beitedyr blir større enn det beitene tåler, rammes alle husdyrholdere.		sentence-collector	1	0
4a8b8782aad5f10ef5581cc83e7852b19c5863932318ab661717f66ff9a387a3	tjuesju tusen tre hundre og sekstifem		sentence-collector	1	0
4a9239710527676cbded3cdb09713d1f7b9a1ddf0f409080d42d62c77486ef8c	Journalister og skuelystne ble holdt på trygg avstand.		sentence-collector	1	0
4b2ab1a789103a51879d981d1316424a17b661751a325178858f99b259751698	Hvor mange barn har du?		Self Citation	1	0
4c5cc9ce3f3025aeaafbeb887a2625db9dab027f4568d148ee2680656d38d631	utover		sentence-collector	1	0
4c7bf50d5c8b929888d7bc495b44672ebd6a1b89b7687a49c38c4c71d6787432	Mannen gikk ut i skogen for å hugge et juletre.		sentence-collector	1	0
4cd0cd2194480ba0f8ada196b27a7549cfa74fd4e0578127f656e625b54e8341	Så var det en som var snill og reddet dem.		sentence-collector	1	0
4f117c231c0975eb3b8ed556863236d9826c62ac4b94b5dc29caaee28177ab97	Blokker bilder fra domene		sentence-collector	1	0
4f42404108477f8331173236d180e8ba152b4d49522fe3f9355099b1cd6c8ddd	De mente det ville ta tid å opprettholde ro og orden.	history_law_government	Sverige och Norge 1814 : skildringar	1	0
4f4b3dd5d9bd00ea52b01156dc37529d0bf6b80b6866ee8d9003d9f2311d0c19	armen		sentence-collector	1	0
4f8c98cf64e689b40d44ded82fbad82474c0e10edd47fcf57d301a6635de48e5	På grunn av de tidligere nevnte problemer skaffer mange innvandrere seg norsk utdannelse.		sentence-collector	1	0
502d7592c3d5a19b3a235989bc927674060b045f58548d0dcd25945f02da8f38	ti tusen to hundre og tjuetre		sentence-collector	1	0
511c3455ae233fd1e6634785232415524643088893281cddab061deb0813f96d	begynnelsen		sentence-collector	1	0
517d3632947ebf63699815db2940b3ed6ee6bc3f061314df4a4ed3ac52e1d568	nitten		sentence-collector	1	0
51803b4cf92f6bf72ded356a13092236e9611cc8cb57433b0a0d4d1aef829739	Bunden mann er sorgbunden		sentence-collector	1	0
519926010e0cd4c58d6fedc188b955008f77881b275fd31ffed9169514c00ce3	slett melding		sentence-collector	1	0
51c102e78863bcfe053d449ecb4eb5c2bd320f4331c2f1e79a0500747250757e	Hun mener det er veldig viktig for henne som vokalist å være seg selv.		sentence-collector	1	0
521f0e9a08b0c5908188d4351464ecc573823475e6c3fc45882cca57489afa89	legedekningen		sentence-collector	1	0
5242bcf875d4db6dc79570d4b7ac29641becaa36f2d42f520e40ed41a9791bca	Resultatet er fire sterkt personlige varianter.		sentence-collector	1	0
52fdd27c80b45792ccba07bd67e50e36bf9975ec66023db9199d8c46116e3216	ett tusen ni hundre og nittifem		sentence-collector	1	0
5334e41515fb068551ead834335e2570422ba6eb1fb68d406c768855fd8985ce	De hadde ingen relevant kompetanse på temaet.		sentence-collector	1	0
5372a443bf76039eb9ef3af19a2ad8bd27328dadf476e338df7f6b02e490f11e	Kaffe og bananer sørger for hovedinntektene.		sentence-collector	1	0
53841f4bd6573e55449fde3a8b78105e2b4e3cec6d819e3724c85e0bdafef6b6	Samtlige saker ble enstemmig vedtatt onsdag.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
538752b28679f8fde7d281d74dd8cdfbaec60fb57f7ce3ae496ee26a37b89dde	Middagstid ringte, men vi hadde ikke tid.	general,nature_environment,news_current_affairs	Finnmarksposten, torsdag 22. oktober 1874	1	0
53e2817eff10b1a230fcc4b40b492b58040bb2baa483943a0f65eb5214223446	Det var en gang som ble til en korridor.	general	Meg	1	0
53f2e96526f37f2677283467f209cdf748e29c0510a5b29b74ff14c98ba66f40	Det er veilederens ansvar å primært legge til rette for gruppedannelse.		sentence-collector	1	0
54025e4a3004b3d717df818fcb54e48432d088deb2bae67f3211f22029b9c4a0	Senere fikk hans biografi samme tittel.	news_current_affairs	Selvsitering	1	0
544728e09764f3ff0b8f4aaf415b50ca8b1fb3b788afb6036306e6df38c567db	Senteret har også en liten butikk med salg av bøker, kunst og suvenirer.		sentence-collector	1	0
54bad2820d469fa6b1fd0ad454915438a685bbd5668fb7efcbedd1aabc66b26f	M A R T I N S E N		sentence-collector	1	0
550686fd59b42c104cab67042dd1c3c5f6d251a598de656db07de474f29a4b9c	I tillegg kommer tap av pensjonsrettigheter for den som har barneomsorgen.		sentence-collector	1	0
555d91cc0fca79abb5fd7b9d5cb61f68d3bdd4e53303b2c69811b09e4bae9ad6	Men Gabriel skjønte hvordan hun hadde det.		sentence-collector	1	0
55992203078ae0af49210228976e24b42f8d8135d4c3af5aaf3a3e072088191e	Kjøperne er avventende og satser på at boligprisene vil presses nedover.		sentence-collector	1	0
55b262af6dac2686d080e04c36e79c9ab87fdfc0b97b5050c1c6194e0e7540cf	Investeringene ga ingen avkastning.		sentence-collector	1	0
56a6950e2065a43a4a92b749784d7e267bc33e9ab490719609e04152da8a5b95	Ukeblader er mest vanlig å lese på venterommet til legen.		sentence-collector	1	0
57470ba030e7493b12e7e3be0b633c15c570a37efc5e0efebc2f67ba359b2e21	Vennligst sjekk ut våre nye produkter på nettet.	service_retail	Selvsitering	1	0
57cb1f5515c9754a6152b4b6579cb76efe936a9ea1cff7b4567bf0a8b435ae49	Du behandler meg som en unge.		Self Citation	1	0
57cf37b4d9acdb5d03910b34211322386a024729f4253e056c087e1003d72e68	B E V A R T		sentence-collector	1	0
5817b987d9bf6950d7766cb52b61681c66a3da78c201e4fd3cf8f9a7c3498d1f	Vi tilbyr gratis frakt på bestillinger over fem hundre kroner.	service_retail	Selvsitering	1	0
586e70601053a6673a5ec13f36fd486e46a29f2c1cf86da5f7fcfc613aa7ee10	Har du lyst på et glass brus?		sentence-collector	1	0
589723fbb7eea03679e1404b624a107a70060b2689a5b7cb6dbb8936d9d9822b	inderne		sentence-collector	1	0
5913e4fee5f01922f7d5b9e0f0161e5339b4e422c27e29241056da4490b67be0	Jeg håper det er tillatt med spørsmål her.		sentence-collector	1	0
5924287bc6d80138b0f5459f112aac89c2df5d99a28bbfc08029748750d96554	Richard Tveiten		sentence-collector	1	0
59adffe23814952a69df41babf173f072a558ca6f3291f365ae0d3596cad322c	Hester egner seg kun til grove pølser som fårepølse		Selvsitering	1	0
59c849c8886ac538d6918294acca1db661550bc171bd4a289c8e820fe2330e7f	Flyselskapet har allerede måttet ansette flere nye medarbeidere.		sentence-collector	1	0
59f6a5b67eb4ab9e760801b098e28f3391a54948e01fefb11b508ad4b3fd0183	De samme rapportene skal også sendes de enkelte fylkesleger.		sentence-collector	1	0
5a0b91aa40340e5098cf6f3c4b562fe8227fcdf3e62c061e26b6f5cd4cdf2ad6	Ordningen har vært omdiskutert og til tider har politikerne ønsket å fjerne den.		sentence-collector	1	0
5a0f3004912f63a4d6fd6a3d1d5cb66c6fc91f09f1ca031df039982adbcd63e2	Hun hadde to barn fra før.		https://no.wikipedia.org/wiki/Anders_Andersen	1	0
5aa817416e66f764275c620dc004ab975d27fff4c2761c133345749b7927ba33	se til venstre først		sentence-collector	1	0
5ab2f27797ded8a8b9360b2f18ff8a5a2bd38d91e2fdd719d7385d538da8dc58	kapringen		sentence-collector	1	0
5ae0dc4e92475a0b010ae589ce852635662484d92ec2e8f616df0088c95aaa15	to to åtte åtte åttiåtte fire hundre og førtisju		sentence-collector	1	0
5afa059808876fb9c88a5204ca2ae281b4642f761b9158f9619685d4769584ee	Hvordan kan man teste om en baby er smart.		sentence-collector	1	0
5b2cad1e0e2f255c3eb17ade5682dca653653f3cb093b52d8ce6142209ee5c13	Det ender med at ofrene som anmelder, får svi, sier hun.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
5b473a1790e1c515eaa05e0ef626c0daf6581c002e26f446efcfbf45f4a15c36	Fire forskjellige personer ringte meg opp og spurte etter deg.		sentence-collector	1	0
5bc62f19a636e8ba34deff807e341ffcd0989c59ed624fa019314cf9fb31ff84	kort		sentence-collector	1	0
5bfde9bba8c7d919abb13cdd9b3ca67ec82d423c9da6521faf7017eef52cb8e8	Diskusjonen har til tider vært ganske ubegripelig.		sentence-collector	1	0
5c71a5cf9533e987a82f0e221f4c0d20c6cbfb84d8c08b263292d0944f39dd13	spillerne		sentence-collector	1	0
5cfbd1cf63c759e3326a02e4d9f46b0d0d69345d8b8683325664849338cc6590	Stek passende lapper av vaffelmiksen, legg på epler og stek på den andre siden.		sentence-collector	1	0
5d31bc1a9cc6bba59436453a8741e9a64d52fcf60e51e1ea4fbe491b5ec8f92a	Dette høres kanskje ut til å stå i motsetning til punkt to.		sentence-collector	1	0
5d5556465ad09c016b73ced6a360dadf84a01724ed74309060509c46de850d54	Solkorset har blant annet forekommet mye i helleristninger.		sentence-collector	1	0
5d8a96441caee3d4367044a915e27cfd25b7517549d05db58a177a36eee5f650	Kjendiser dominerer forsiden av magasiner.	media_entertainment	Selvsitering	1	0
5da977288e91a159be0d8c996dfc971948c2f7b98263e6719e7e0d527dae0f2d	De fineste er håndmalt, for å se mest mulig ekte ut.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
5de9c4e76c8c210a4bca9595a22f1f0c20d8c6e235d2800287c67ba88ed63d33	femtien tusen ett hundre og femtini		sentence-collector	1	0
5debcbd08058617aa5bae2db3032e26f140571aad6c1368a9dce51b9da8b83d5	Si nøyaktig det som står skrevet her.		sentence-collector	1	0
5e4862154a88145805ea967340c3664f78b54736c96150a32402aff7deb9bf52	Filmen var dessuten den som ble vist desidert flest ganger på kinoene.		sentence-collector	1	0
5ec66db7fa54a168b17a23d22b63dc5328a67a80245c41795f8b86e0bf885dd9	Seksåringen synes ikke det er skummelt med biler.		sentence-collector	1	0
